iter	Passed	Remaining
0	17	17180
1	34	16975
2	50	16798
3	66	16678
4	83	16569
5	98	16368
6	115	16385
7	130	16216
8	146	16146
9	163	16201
10	179	16152
11	196	16149
12	212	16096
13	228	16096
14	248	16330
15	269	16584
16	292	16888
17	313	17091
18	333	17242
19	354	17383
20	375	17513
21	396	17643
22	423	17993
23	461	18752
24	503	19618
25	536	20101
26	565	20388
27	584	20292
28	602	20181
29	622	20137
30	640	20031
31	657	19897
32	677	19855
33	696	19798
34	714	19707
35	734	19655
36	752	19584
37	769	19472
38	786	19383
39	803	19278
40	819	19174
41	836	19079
42	853	18998
43	870	18917
44	890	18895
45	910	18890
46	928	18834
47	946	18771
48	964	18717
49	983	18680
50	999	18599
51	1015	18514
52	1032	18449
53	1049	18383
54	1065	18308
55	1081	18235
56	1098	18170
57	1115	18120
58	1132	18057
59	1148	17987
60	1167	17964
61	1183	17912
62	1200	17853
63	1216	17792
64	1233	17741
65	1250	17702
66	1268	17662
67	1285	17612
68	1301	17564
69	1318	17512
70	1334	17458
71	1351	17413
72	1367	17368
73	1384	17324
74	1401	17286
75	1418	17243
76	1434	17190
77	1450	17147
78	1467	17105
79	1484	17075
80	1501	17033
81	1517	16990
82	1533	16946
83	1550	16907
84	1566	16863
85	1583	16825
86	1599	16783
87	1616	16747
88	1632	16711
89	1649	16681
90	1665	16638
91	1682	16602
92	1698	16565
93	1714	16528
94	1731	16494
95	1747	16459
96	1764	16427
97	1780	16391
98	1797	16362
99	1814	16328
100	1830	16296
101	1847	16263
102	1865	16247
103	1882	16216
104	1899	16192
105	1916	16160
106	1932	16128
107	1949	16097
108	1965	16063
109	1980	16026
110	1996	15992
111	2013	15962
112	2029	15931
113	2045	15898
114	2062	15870
115	2078	15837
116	2095	15816
117	2113	15794
118	2131	15777
119	2149	15762
120	2167	15744
121	2185	15731
122	2202	15705
123	2219	15677
124	2235	15646
125	2251	15620
126	2269	15600
127	2287	15584
128	2305	15566
129	2323	15549
130	2341	15529
131	2358	15506
132	2374	15478
133	2390	15450
134	2407	15424
135	2423	15397
136	2440	15373
137	2457	15348
138	2474	15325
139	2490	15296
140	2506	15271
141	2522	15243
142	2539	15220
143	2556	15195
144	2573	15174
145	2589	15147
146	2606	15123
147	2622	15099
148	2639	15074
149	2657	15060
150	2676	15047
151	2693	15027
152	2710	15007
153	2729	14993
154	2748	14981
155	2765	14962
156	2783	14948
157	2802	14935
158	2819	14912
159	2835	14886
160	2853	14871
161	2872	14856
162	2890	14842
163	2907	14820
164	2923	14795
165	2941	14776
166	2958	14755
167	2975	14735
168	2994	14722
